1,Effective Tax Rate,Abarbanell and Bushee,1998,AR,
2,Gross margin growth to sales growth,Abarbanell and Bushee,1998,AR,dgp_dsale
3,Industry-adjusted change in capital investment,Abarbanell and Bushee,1998,AR,pchcapx_ia
4,Labor force efficiency,Abarbanell and Bushee,1998,AR,sale_emp_gr1
5,Sales growth to inventory growth,Abarbanell and Bushee,1998,AR,dsale_dinv
6,Sales growth to receivable growth,Abarbanell and Bushee,1998,AR,dsale_drec
7,Sales growth to SG&A growth,Abarbanell and Bushee,1998,AR,dsale_dsga
8,Liquidity beta (illiquidity-illiquidity),Acharya and Pedersen,2005,JFE,
9,Liquidity beta (illiquidity-return),Acharya and Pedersen,2005,JFE,
10,Liquidity beta (return-illiquidity),Acharya and Pedersen,2005,JFE,
11,Liquidity beta (return-return),Acharya and Pedersen,2005,JFE,
12,Net liquidity beta,Acharya and Pedersen,2005,JFE,
13,Leverage beta,"Adrian, Etula and Muir",2014,JF,
14,Idiosyncratic volatility (GHZ),"Ali, Hwang, and Trombley",2003,JFE,idiovol
15,"Idiosyncratic volatility (Org, JKP)","Ali, Hwang, and Trombley",2003,JFE,ivol_capm_252d
16,Illiquidity ,Amihud,2002,JFM,ami_126d
17,Bid-ask spread,Amihud and Mendelson,1986,JFE,baspread
18,Three-year investment growth,Anderson and Garcia-Feijoo,2006,JF,capx_gr3
19,Two-year investment growth,Anderson and Garcia-Feijoo,2006,JF,capx_gr2
20,Dispersion in analyst long-term growth forecasts,"Anderson, Ghysels, and Juergens",2005,RFS,
21,Idiosyncratic volatility (CAPM),Ang et al.,2006,JF,ivol_capm_21d
22,Idiosyncratic volatility (FF3),Ang et al.,2006,JF,ivol_ff3_21d
23,Idiosyncratic volatility (q-factor),Ang et al.,2006,JF,ivol_hxz4_21d
24,Return volatility,Ang et al.,2006,JF,retvol
25,Systematic volatility,Ang et al.,2006,JF,
26,Downside beta,"Ang, Chen, and Xing",2006,RFS,betadown_252d
27,Industry-adjusted book-to-market,"Asness, Porter, and Stevens",2000,WP,bm_ia
28,Industry-adjusted cash flow-to-price,"Asness, Porter, and Stevens",2000,WP,cfp_ia
29,Industry-adjusted change in employees,"Asness, Porter, and Stevens",2000,WP,chempia
30,Industry-adjusted firm size,"Asness, Porter, and Stevens",2000,WP,mve_ia
31,Book-to-market (June ME),Asnesss and Frazzini,2013,JPM,
32,Highest 5 days of return to volatility,Assness et al.,2020,JFE,rmax5_rvol_21d
33,Market correlation,Assness et al.,2020,JFE,corr_1260d
34,Quality minus Junk: Composite,"Assness, Frazzini, and Pedersen",2018,RAS,qmj
35,Quality minus Junk: Growth,"Assness, Frazzini, and Pedersen",2018,RAS,qmj_growth
36,Quality minus Junk: Profitability,"Assness, Frazzini, and Pedersen",2018,RAS,qmj_prof
37,Quality minus Junk: Safety,"Assness, Frazzini, and Pedersen",2018,RAS,qmj_safety
